symbol,company_name,exchange,sector,market_cap
AMZN,Amazon.com Inc. Common Stock,NASDAQ,Consumer Discretionary,2.93E+12
ANAB,AnaptysBio Inc. Common Stock,NASDAQ,Health Care,2006053234
ANDE,Andersons Inc. (The) Common Stock,NASDAQ,Industrials,2704525396
ANGH,Anghami Inc. Ordinary Shares,NASDAQ,Consumer Discretionary,33811734
ANGI,Angi Inc. Class A Common Stock,NASDAQ,Consumer Discretionary,294196595
ANGO,AngioDynamics Inc. Common Stock,NASDAQ,Health Care,453681687
ANIK,Anika Therapeutics Inc. Common Stock,NASDAQ,Health Care,193596829
ANIP,ANI Pharmaceuticals Inc.,NASDAQ,Health Care,1848756390
ANIX,Anixa Biosciences Inc. Common Stock,NASDAQ,Health Care,102595245
ANL,Adlai Nortye Ltd. American Depositary Shares,NASDAQ,Health Care,1090706371
ANNA,AleAnna Inc. Class A Common Stock,NASDAQ,Energy,249665312
ANNAW,AleAnna Inc. Warrant,NASDAQ,Energy,26104416
ANNX,Annexon Inc. Common Stock,NASDAQ,Health Care,924666412
ANPA,Rich Sparkle Holdings Limited Ordinary Shares,NASDAQ,Consumer Discretionary,89024846
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,NASDAQ,,0
ANSCU,Agriculture & Natural Solutions Acquisition Corporation Unit,NASDAQ,,0
ANTA,Antalpha Platform Holding Company Class A Ordinary Shares,NASDAQ,Finance,206335638
ANTX,AN2 Therapeutics Inc. Common Stock,NASDAQ,Health Care,174578393
ANY,Sphere 3D Corp. Common Shares,NASDAQ,Finance,5537616
AOSL,Alpha and Omega Semiconductor Limited Common Shares,NASDAQ,Technology,1255311599
AOUT,American Outdoor Brands Inc. Common Stock ,NASDAQ,Consumer Discretionary,117896314
APA,APA Corporation Common Stock,NASDAQ,Energy,14849885396
APAC,StoneBridge Acquisition II Corporation Class A Ordinary Shares,NASDAQ,,0
APACU,StoneBridge Acquisition II Corporation Units,NASDAQ,Finance,0
APAD,A Paradise Acquisition Corp. Class A Ordinary Shares,NASDAQ,,0
APADR,A Paradise Acquisition Corp. Rights,NASDAQ,,0
APADU,A Paradise Acquisition Corp. Unit,NASDAQ,,0
APC,ARKO Petroleum Corp. Class A Common Stock,NASDAQ,Energy,898125810
APEI,American Public Education Inc. Common Stock,NASDAQ,Real Estate,1059377801
APGE,Apogee Therapeutics Inc. Common Stock,NASDAQ,Health Care,6293643371
API,Agora Inc. American Depositary Shares,NASDAQ,Technology,324671174
APLD,Applied Digital Corporation Common Stock,NASDAQ,Finance,10181968675
APLM,Apollomics Inc. Class A Ordinary Shares,NASDAQ,Health Care,36159094
APLMW,Apollomics Inc. Warrant,NASDAQ,Health Care,40407
APLS,Apellis Pharmaceuticals Inc. Common Stock,NASDAQ,Health Care,5237191372
APM,Aptorum Group Limited Class A Ordinary Shares,NASDAQ,Health Care,6840756
APOG,Apogee Enterprises Inc. Common Stock,NASDAQ,Consumer Discretionary,738057233
APP,Applovin Corporation Class A Common Stock,NASDAQ,Technology,1.60E+11
APPF,AppFolio Inc. Class A Common Stock,NASDAQ,Technology,6139302085
APPN,Appian Corporation Class A Common Stock,NASDAQ,Technology,1679118234
APPS,Digital Turbine Inc. Common Stock,NASDAQ,Miscellaneous,473604735
APRE,Aprea Therapeutics Inc. Common stock,NASDAQ,Health Care,10411438
